Heuristic,Max Steps,Size,Target Density,Target Mix,Target Location Clustering,Target Type Clustering,Target Value Mix,Asset Density,Asset Mix,Asset Location Clustering,Asset Type Clustering,Starting Temperature,Decay Rate
Precise,1000000,10,0.9,0.3,0.05,0.05,2.5,0.3,0.6,0.2,0.05,0.1,10
Precise,1000000,10,0.6,0.6,0.05,0.2,0.3,0.3,0.6,0.05,0.2,0.1,10
ROC,1000000,10,0.9,0.3,0.05,0.2,0.3,0.9,0.6,0.2,0.2,100,10
Precise,1000000,10,0.9,0.3,0.2,0.2,2.5,0.3,0.3,0.05,0.2,100,10
ROC,1000000,10,0.6,0.3,0.2,0.05,2.5,0.9,0.6,0.05,0.2,100,10
ROC,1000000,100,0.9,0.3,0.2,0.05,2.5,0.9,0.3,0.2,0.05,100,10
Precise,1000000,10,0.9,0.6,0.2,0.05,0.3,0.9,0.3,0.2,0.2,0.1,10
Precise,1000000,10,0.6,0.3,0.05,0.05,0.3,0.9,0.3,0.05,0.05,100,10
ROC,1000000,100,0.9,0.3,0.2,0.05,0.3,0.9,0.6,0.2,0.2,0.1,1
Precise,1000000,100,0.9,0.6,0.05,0.2,0.3,0.3,0.3,0.2,0.05,0.1,10
ROC,1000000,100,0.6,0.6,0.05,0.05,0.3,0.9,0.6,0.2,0.05,0.1,10
ROC,1000000,100,0.9,0.6,0.2,0.2,2.5,0.3,0.6,0.2,0.2,0.1,10
Precise,1000000,100,0.9,0.3,0.2,0.2,0.3,0.9,0.6,0.05,0.05,0.1,10
ROC,1000000,100,0.9,0.6,0.2,0.2,0.3,0.9,0.3,0.05,0.05,0.1,1
ROC,1000000,10,0.9,0.6,0.05,0.2,2.5,0.9,0.3,0.05,0.05,0.1,10
ROC,1000000,10,0.6,0.6,0.05,0.05,2.5,0.3,0.3,0.2,0.2,100,10
Precise,1000000,100,0.6,0.6,0.2,0.05,2.5,0.3,0.3,0.05,0.05,0.1,10
ROC,1000000,100,0.9,0.3,0.05,0.2,0.3,0.3,0.6,0.2,0.05,100,1
ROC,1000000,10,0.6,0.3,0.2,0.2,0.3,0.3,0.3,0.2,0.05,0.1,10
Precise,1000000,100,0.9,0.6,0.05,0.05,2.5,0.9,0.6,0.05,0.2,100,10
Precise,1000000,10,0.6,0.6,0.2,0.2,2.5,0.9,0.6,0.2,0.05,100,10
ROC,1000000,10,0.6,0.6,0.2,0.05,0.3,0.3,0.3,0.05,0.2,0.1,1
ROC,1000000,100,0.6,0.3,0.05,0.2,2.5,0.3,0.6,0.05,0.05,100,10
Precise,1000000,100,0.6,0.3,0.2,0.05,0.3,0.3,0.6,0.2,0.2,100,10
Precise,1000000,10,0.9,0.3,0.2,0.05,0.3,0.3,0.3,0.2,0.05,100,1
Precise,1000000,100,0.6,0.3,0.05,0.2,2.5,0.9,0.3,0.2,0.2,0.1,10
Precise,1000000,10,0.9,0.3,0.05,0.2,2.5,0.9,0.3,0.2,0.2,100,1
Precise,1000000,10,0.9,0.6,0.05,0.05,0.3,0.9,0.6,0.05,0.05,0.1,1
Precise,500,100,0.9,0.6,0.2,0.2,0.3,0.9,0.3,0.05,0.05,100,10
ROC,1000000,10,0.6,0.6,0.2,0.05,2.5,0.9,0.6,0.2,0.05,0.1,1
ROC,1000000,100,0.9,0.6,0.05,0.05,2.5,0.3,0.3,0.2,0.2,0.1,1
ROC,500,100,0.9,0.3,0.2,0.05,0.3,0.9,0.6,0.2,0.2,0.1,10
Precise,1000000,100,0.6,0.3,0.2,0.2,2.5,0.3,0.3,0.2,0.05,100,1
ROC,1000000,100,0.9,0.3,0.05,0.05,0.3,0.3,0.3,0.05,0.2,0.1,10
ROC,1000000,10,0.9,0.6,0.2,0.05,0.3,0.3,0.6,0.05,0.05,100,10
ROC,1000000,100,0.6,0.6,0.2,0.2,0.3,0.9,0.3,0.05,0.2,100,10
Precise,1000000,10,0.6,0.6,0.05,0.2,0.3,0.3,0.6,0.2,0.2,100,1
Precise,1000000,100,0.9,0.6,0.2,0.05,2.5,0.3,0.6,0.05,0.2,100,1
ROC,1000000,100,0.6,0.3,0.05,0.05,2.5,0.9,0.3,0.05,0.05,0.1,1
Precise,1000000,100,0.6,0.6,0.05,0.05,0.3,0.9,0.3,0.2,0.05,100,1
